timestamp, clocks.current.sm [MHz], pstate, utilization.gpu [%]
2026/08/31 16:34:40.826, 210 MHz, P8, 24 %
2026/08/31 16:34:40.856, 210 MHz, P8, 24 %
2026/08/31 16:34:40.887, 210 MHz, P8, 1 %
2026/08/31 16:34:40.918, 210 MHz, P8, 1 %
2026/08/31 16:34:40.949, 210 MHz, P8, 1 %
2026/08/31 16:34:40.979, 210 MHz, P8, 1 %
2026/08/31 16:34:41.009, 210 MHz, P8, 1 %
2026/08/31 16:34:41.041, 210 MHz, P8, 1 %
2026/08/31 16:34:41.072, 210 MHz, P8, 1 %
2026/08/31 16:34:41.103, 210 MHz, P8, 1 %
2026/08/31 16:34:41.133, 210 MHz, P8, 1 %
2026/08/31 16:34:41.163, 210 MHz, P8, 1 %
2026/08/31 16:34:41.193, 210 MHz, P8, 1 %
2026/08/31 16:34:41.224, 210 MHz, P8, 1 %
2026/08/31 16:34:41.255, 210 MHz, P8, 1 %
2026/08/31 16:34:41.284, 210 MHz, P8, 1 %
2026/08/31 16:34:41.316, 210 MHz, P8, 1 %
2026/08/31 16:34:41.348, 210 MHz, P8, 1 %
2026/08/31 16:34:41.378, 210 MHz, P8, 3 %
2026/08/31 16:34:41.410, 210 MHz, P8, 3 %
2026/08/31 16:34:41.440, 210 MHz, P8, 3 %
2026/08/31 16:34:41.471, 210 MHz, P8, 3 %
2026/08/31 16:34:41.503, 210 MHz, P8, 3 %
2026/08/31 16:34:41.534, 210 MHz, P8, 3 %
2026/08/31 16:34:41.565, 210 MHz, P8, 3 %
2026/08/31 16:34:41.597, 210 MHz, P8, 3 %
2026/08/31 16:34:41.628, 210 MHz, P8, 3 %
2026/08/31 16:34:41.658, 210 MHz, P8, 3 %
2026/08/31 16:34:41.689, 210 MHz, P8, 3 %
2026/08/31 16:34:41.719, 210 MHz, P8, 3 %
2026/08/31 16:34:41.748, 210 MHz, P8, 3 %
2026/08/31 16:34:41.778, 210 MHz, P8, 3 %
2026/08/31 16:34:41.808, 210 MHz, P8, 3 %
2026/08/31 16:34:41.838, 210 MHz, P8, 3 %
2026/08/31 16:34:41.868, 210 MHz, P8, 3 %
2026/08/31 16:34:41.900, 210 MHz, P1, 3 %
2026/08/31 16:34:41.931, 210 MHz, P1, 3 %
2026/08/31 16:34:41.961, 210 MHz, P1, 3 %
2026/08/31 16:34:41.992, 210 MHz, P1, 3 %
2026/08/31 16:34:42.023, 210 MHz, P1, 3 %
2026/08/31 16:34:42.055, 210 MHz, P1, 3 %
2026/08/31 16:34:42.085, 210 MHz, P1, 3 %
2026/08/31 16:34:42.116, 210 MHz, P1, 3 %
2026/08/31 16:34:42.147, 210 MHz, P1, 3 %
2026/08/31 16:34:42.179, 210 MHz, P1, 3 %
2026/08/31 16:34:42.210, 210 MHz, P1, 3 %
2026/08/31 16:34:42.240, 210 MHz, P1, 3 %
2026/08/31 16:34:42.271, 210 MHz, P1, 3 %
2026/08/31 16:34:42.303, 210 MHz, P1, 3 %
2026/08/31 16:34:42.334, 210 MHz, P1, 3 %
2026/08/31 16:34:42.366, 210 MHz, P1, 3 %
2026/08/31 16:34:42.398, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.431, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.461, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.493, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.525, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.555, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.586, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.617, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.648, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.679, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.709, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.739, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.770, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.801, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.832, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.863, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.895, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.926, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.957, 1500 MHz, P1, 0 %
2026/08/31 16:34:42.988, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.019, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.050, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.082, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.113, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.145, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.176, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.207, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.239, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.271, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.301, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.331, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.361, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.392, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.424, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.454, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.485, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.516, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.546, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.577, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.608, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.638, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.669, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.700, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.732, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.763, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.793, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.823, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.853, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.884, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.914, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.944, 1500 MHz, P1, 0 %
2026/08/31 16:34:43.976, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.007, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.038, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.069, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.100, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.130, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.161, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.191, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.222, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.252, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.282, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.312, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.342, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.372, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.402, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.432, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.462, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.494, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.524, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.556, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.588, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.617, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.647, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.679, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.710, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.741, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.772, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.802, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.834, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.865, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.896, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.928, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.958, 1500 MHz, P1, 0 %
2026/08/31 16:34:44.988, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.018, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.048, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.079, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.111, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.142, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.172, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.202, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.232, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.262, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.292, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.324, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.356, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.387, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.417, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.448, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.478, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.509, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.541, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.572, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.604, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.635, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.666, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.696, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.726, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.756, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.786, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.816, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.846, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.877, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.909, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.940, 1500 MHz, P1, 0 %
2026/08/31 16:34:45.971, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.003, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.035, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.065, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.096, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.128, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.159, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.189, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.219, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.249, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.280, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.310, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.342, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.373, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.405, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.436, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.466, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.497, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.529, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.561, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.592, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.624, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.656, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.686, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.718, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.750, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.780, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.812, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.843, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.874, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.905, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.937, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.968, 1500 MHz, P1, 0 %
2026/08/31 16:34:46.999, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.031, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.062, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.093, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.123, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.154, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.184, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.214, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.246, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.277, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.308, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.340, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.372, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.402, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.432, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.463, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.495, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.525, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.557, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.588, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.619, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.650, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.681, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.713, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.745, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.776, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.807, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.839, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.870, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.900, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.932, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.963, 1500 MHz, P1, 0 %
2026/08/31 16:34:47.993, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.023, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.053, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.085, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.116, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.147, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.178, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.210, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.241, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.272, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.302, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.333, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.363, 1500 MHz, P1, 0 %
2026/08/31 16:34:48.394, 255 MHz, P8, 0 %
2026/08/31 16:34:48.426, 255 MHz, P8, 0 %
2026/08/31 16:34:48.457, 255 MHz, P8, 0 %
2026/08/31 16:34:48.488, 255 MHz, P8, 0 %
2026/08/31 16:34:48.520, 255 MHz, P8, 0 %
2026/08/31 16:34:48.552, 255 MHz, P8, 0 %
2026/08/31 16:34:48.584, 255 MHz, P8, 0 %
2026/08/31 16:34:48.616, 255 MHz, P8, 0 %
2026/08/31 16:34:48.647, 255 MHz, P8, 0 %
2026/08/31 16:34:48.679, 255 MHz, P8, 0 %
2026/08/31 16:34:48.712, 255 MHz, P8, 0 %
2026/08/31 16:34:48.743, 255 MHz, P8, 0 %
2026/08/31 16:34:48.774, 255 MHz, P8, 0 %
2026/08/31 16:34:48.805, 255 MHz, P8, 0 %
2026/08/31 16:34:48.835, 255 MHz, P8, 0 %
2026/08/31 16:34:48.865, 255 MHz, P8, 0 %
2026/08/31 16:34:48.896, 210 MHz, P8, 1 %
2026/08/31 16:34:48.928, 210 MHz, P8, 1 %
2026/08/31 16:34:48.959, 210 MHz, P8, 1 %
2026/08/31 16:34:48.991, 210 MHz, P8, 1 %
2026/08/31 16:34:49.021, 210 MHz, P8, 1 %
2026/08/31 16:34:49.051, 210 MHz, P8, 1 %
2026/08/31 16:34:49.082, 210 MHz, P8, 1 %
2026/08/31 16:34:49.114, 210 MHz, P8, 1 %
2026/08/31 16:34:49.145, 210 MHz, P8, 1 %
2026/08/31 16:34:49.175, 210 MHz, P8, 1 %
2026/08/31 16:34:49.206, 210 MHz, P8, 1 %
2026/08/31 16:34:49.238, 210 MHz, P8, 1 %
2026/08/31 16:34:49.270, 210 MHz, P8, 1 %
2026/08/31 16:34:49.301, 210 MHz, P8, 1 %
2026/08/31 16:34:49.333, 210 MHz, P8, 1 %
2026/08/31 16:34:49.365, 210 MHz, P8, 1 %
2026/08/31 16:34:49.396, 210 MHz, P8, 2 %
2026/08/31 16:34:49.426, 210 MHz, P8, 2 %
2026/08/31 16:34:49.457, 210 MHz, P8, 2 %
2026/08/31 16:34:49.488, 210 MHz, P8, 2 %
2026/08/31 16:34:49.520, 210 MHz, P8, 2 %
2026/08/31 16:34:49.552, 210 MHz, P8, 2 %
2026/08/31 16:34:49.582, 210 MHz, P8, 2 %
2026/08/31 16:34:49.612, 210 MHz, P8, 2 %
2026/08/31 16:34:49.642, 210 MHz, P8, 2 %
2026/08/31 16:34:49.672, 210 MHz, P8, 2 %
2026/08/31 16:34:49.702, 210 MHz, P8, 2 %
2026/08/31 16:34:49.733, 210 MHz, P8, 2 %
2026/08/31 16:34:49.763, 210 MHz, P8, 2 %
2026/08/31 16:34:49.793, 210 MHz, P8, 2 %
2026/08/31 16:34:49.825, 210 MHz, P8, 2 %
2026/08/31 16:34:49.857, 210 MHz, P8, 2 %
2026/08/31 16:34:49.888, 210 MHz, P8, 1 %
2026/08/31 16:34:49.919, 210 MHz, P8, 1 %
2026/08/31 16:34:49.949, 210 MHz, P8, 1 %
2026/08/31 16:34:49.980, 210 MHz, P8, 1 %
2026/08/31 16:34:50.011, 210 MHz, P8, 1 %
2026/08/31 16:34:50.043, 210 MHz, P8, 1 %
2026/08/31 16:34:50.073, 210 MHz, P8, 1 %
2026/08/31 16:34:50.103, 210 MHz, P8, 1 %
2026/08/31 16:34:50.135, 210 MHz, P8, 1 %
2026/08/31 16:34:50.165, 210 MHz, P8, 1 %
2026/08/31 16:34:50.195, 210 MHz, P8, 1 %
2026/08/31 16:34:50.226, 210 MHz, P8, 1 %
2026/08/31 16:34:50.258, 210 MHz, P8, 1 %
2026/08/31 16:34:50.289, 210 MHz, P8, 1 %
2026/08/31 16:34:50.319, 210 MHz, P8, 1 %
2026/08/31 16:34:50.350, 210 MHz, P8, 1 %
2026/08/31 16:34:50.381, 210 MHz, P8, 1 %
2026/08/31 16:34:50.413, 210 MHz, P8, 1 %
2026/08/31 16:34:50.442, 210 MHz, P8, 1 %
2026/08/31 16:34:50.474, 210 MHz, P8, 1 %
2026/08/31 16:34:50.505, 210 MHz, P8, 1 %
2026/08/31 16:34:50.536, 210 MHz, P8, 1 %
2026/08/31 16:34:50.566, 210 MHz, P8, 1 %
2026/08/31 16:34:50.596, 210 MHz, P8, 1 %
2026/08/31 16:34:50.627, 210 MHz, P8, 1 %
2026/08/31 16:34:50.657, 210 MHz, P8, 1 %
2026/08/31 16:34:50.689, 210 MHz, P8, 1 %
2026/08/31 16:34:50.720, 210 MHz, P8, 1 %
2026/08/31 16:34:50.751, 210 MHz, P8, 1 %
2026/08/31 16:34:50.783, 210 MHz, P8, 1 %
2026/08/31 16:34:50.814, 210 MHz, P8, 1 %
2026/08/31 16:34:50.844, 210 MHz, P8, 1 %
2026/08/31 16:34:50.874, 210 MHz, P8, 1 %
2026/08/31 16:34:50.904, 210 MHz, P8, 1 %
2026/08/31 16:34:50.935, 210 MHz, P8, 1 %
2026/08/31 16:34:50.965, 210 MHz, P8, 1 %
2026/08/31 16:34:50.995, 210 MHz, P8, 1 %
2026/08/31 16:34:51.026, 210 MHz, P8, 1 %
2026/08/31 16:34:51.057, 210 MHz, P8, 1 %
2026/08/31 16:34:51.089, 210 MHz, P8, 1 %
2026/08/31 16:34:51.121, 210 MHz, P8, 1 %
2026/08/31 16:34:51.151, 210 MHz, P8, 1 %
2026/08/31 16:34:51.181, 210 MHz, P8, 1 %
2026/08/31 16:34:51.211, 210 MHz, P8, 1 %
2026/08/31 16:34:51.242, 210 MHz, P8, 1 %
2026/08/31 16:34:51.273, 210 MHz, P8, 1 %
2026/08/31 16:34:51.305, 210 MHz, P8, 1 %
2026/08/31 16:34:51.336, 210 MHz, P8, 1 %
2026/08/31 16:34:51.367, 210 MHz, P8, 1 %
2026/08/31 16:34:51.398, 210 MHz, P8, 1 %
2026/08/31 16:34:51.429, 210 MHz, P8, 1 %
2026/08/31 16:34:51.460, 210 MHz, P8, 1 %
2026/08/31 16:34:51.492, 210 MHz, P8, 1 %
2026/08/31 16:34:51.524, 210 MHz, P8, 1 %
2026/08/31 16:34:51.556, 210 MHz, P8, 1 %
2026/08/31 16:34:51.586, 210 MHz, P8, 1 %
2026/08/31 16:34:51.617, 210 MHz, P8, 1 %
2026/08/31 16:34:51.649, 210 MHz, P8, 1 %
2026/08/31 16:34:51.681, 210 MHz, P8, 1 %
